model,seed,alpha,shield,kappa,v_scale,mean_drift,baseline_nll,n_prompts,elapsed_s,bank_col_sum_p99,bank_col_sum_p50,bank_col_sum_mean,attn_entropy_bank_mean,attn_entropy_native_mean,m_perp_energy_ratio_mean,residual_norm_p50,residual_norm_p99
Qwen/Qwen2.5-0.5B,0,2.0,True,1.0,False,2.4626539309819537,3.1918787558873496,30,23.68,659.0662359619143,14.551824569702148,59.5551872253418,1.7644504308700562,2.6724703311920166,0.0,15.17189073562622,100.41673889160158
Qwen/Qwen2.5-0.5B,0,2.0,True,2.0,False,2.494335579872131,3.1918787558873496,30,23.68,664.9358666992188,14.296205997467041,59.044097900390625,1.7588927745819092,2.6167492866516113,0.0,15.065373420715332,100.44843978881836
Qwen/Qwen2.5-0.5B,0,2.0,True,4.0,False,2.808195439974467,3.1918787558873496,30,23.62,680.6830187988288,13.46654987335205,58.57722854614258,1.7356020212173462,2.5988528728485107,0.0,14.850045204162598,99.62634620666505
Qwen/Qwen2.5-0.5B,0,2.0,False,1.0,True,7.580259172121684,3.1918787558873496,30,23.52,779.0989715576177,10.451061725616455,65.67675018310547,1.5832346677780151,2.533681631088257,0.0,21.77224063873291,83.32005081176764
Qwen/Qwen2.5-0.5B,0,2.0,True,1.0,True,2.459421722094218,3.1918787558873496,30,23.71,659.2398901367189,14.709789276123047,60.01860809326172,1.7631944417953491,2.6816039085388184,0.0,15.254680633544922,100.59652900695801
Qwen/Qwen2.5-0.5B,0,2.0,True,2.0,True,2.4632665395736693,3.1918787558873496,30,23.62,659.691827392579,14.651976585388184,59.84007263183594,1.7629811763763428,2.6722750663757324,0.0,15.215003967285156,100.5808959960938
Qwen/Qwen2.5-0.5B,0,2.0,True,4.0,True,2.537652325630188,3.1918787558873496,30,22.51,666.9796820068361,14.352418899536133,59.693748474121094,1.7563364505767822,2.6701319217681885,0.0,15.097568988800049,100.42455749511731
Qwen/Qwen2.5-0.5B,0,4.0,False,1.0,False,10.635555974642436,3.1918787558873496,30,23.27,671.1067907714845,10.27400016784668,61.18696975708008,1.5950276851654053,3.333848476409912,0.0,87.88793563842773,149.8484230041504
Qwen/Qwen2.5-0.5B,0,4.0,True,1.0,False,2.5258190711339314,3.1918787558873496,30,23.37,654.621881713868,13.874411582946777,58.17501449584961,1.7571427822113037,2.5618021488189697,0.0,15.068058013916016,100.59004516601568
Qwen/Qwen2.5-0.5B,0,4.0,True,2.0,False,3.051933280626933,3.1918787558873496,30,23.42,694.7727380371094,12.873825073242188,58.33536148071289,1.7178560495376587,2.6213889122009277,0.0,14.910210609436035,97.10261383056641
Qwen/Qwen2.5-0.5B,0,4.0,True,4.0,False,4.835777767499288,3.1918787558873496,30,22.92,724.2221057128907,11.391104698181152,59.01534652709961,1.6489217281341553,2.6314351558685303,0.0,15.525765419006348,88.63642845153815
Qwen/Qwen2.5-0.5B,0,4.0,False,1.0,True,9.219202431042989,3.1918787558873496,30,24.15,824.3966900634775,10.01625680923462,65.02734375,1.5588299036026,2.735060453414917,0.0,41.6062126159668,101.0072566986085
Qwen/Qwen2.5-0.5B,0,4.0,True,1.0,True,2.4706585804621377,3.1918787558873496,30,24.91,661.4539575195313,14.54729700088501,59.54342269897461,1.7647236585617065,2.6620991230010986,0.0,15.196179389953613,100.58580436706566
Qwen/Qwen2.5-0.5B,0,4.0,True,2.0,True,2.507088081041972,3.1918787558873496,30,23.27,663.7166418457037,14.259727954864502,58.98234558105469,1.7606465816497803,2.604323387145996,0.0,15.091908931732178,100.90393562316915
