model,arm,alpha,mean_drift,std_drift,n
Qwen/Qwen2.5-1.5B,A2,32.0,1.052669644355774,1.1512482117962148,90
Qwen/Qwen2.5-1.5B,A3,0.5,0.9150490283966064,1.1119342813903603,90
Qwen/Qwen2.5-1.5B,A3,1.0,0.9455054442087809,1.137180376823669,90
Qwen/Qwen2.5-1.5B,A3,2.0,0.9138469854990642,1.1326979502318328,90
Qwen/Qwen2.5-1.5B,A3,4.0,0.7906097968419393,0.9858897592893099,90
Qwen/Qwen2.5-1.5B,A3,8.0,0.8834096113840739,1.0493766515737206,90
Qwen/Qwen2.5-1.5B,A3,16.0,0.9182422478993734,1.07449413189791,90
Qwen/Qwen2.5-1.5B,A3,32.0,1.052669644355774,1.1512482117962148,90
Qwen/Qwen2.5-1.5B,A4,0.5,0.9418668985366822,1.1094120717629834,90
Qwen/Qwen2.5-1.5B,A4,1.0,0.8285128116607666,1.0228010162396945,90
Qwen/Qwen2.5-1.5B,A4,2.0,0.8072479963302612,1.0060539499882541,90
Qwen/Qwen2.5-1.5B,A4,4.0,0.7971180280049642,1.041985613744354,90
Qwen/Qwen2.5-1.5B,A4,8.0,0.7560511747996013,0.9249617709529583,90
Qwen/Qwen2.5-1.5B,A4,16.0,0.7909682353337606,0.8679786929452756,90
Qwen/Qwen2.5-1.5B,A4,32.0,0.8002967993418376,0.7120467909496988,90
gpt2-medium,A0,0.5,0.039534711837768556,0.03373483402036158,90
gpt2-medium,A0,1.0,0.04550727208455404,0.03740439505987393,90
gpt2-medium,A0,2.0,0.04558839003245036,0.03860072856840927,90
gpt2-medium,A0,4.0,0.048624849319458006,0.04232709307936364,90
gpt2-medium,A0,8.0,0.189102037747701,0.06204306390774627,90
gpt2-medium,A0,16.0,0.8082556804021199,0.23373469428385682,90
gpt2-medium,A0,32.0,4.2196975469589235,0.5517265081088065,90
gpt2-medium,A1,0.5,0.04334576924641927,0.036320676650856816,90
gpt2-medium,A1,1.0,0.05214630762736003,0.039038168287303075,90
gpt2-medium,A1,2.0,0.051794576644897464,0.043315128853922955,90
gpt2-medium,A1,4.0,0.07210904757181803,0.046134746173126615,90
gpt2-medium,A1,8.0,0.18218027750651042,0.06257777541098197,90
gpt2-medium,A1,16.0,0.8115098396937053,0.1825314066020169,90
gpt2-medium,A1,32.0,2.97178901831309,0.8103585042520863,90
gpt2-medium,A2,0.5,0.041344801584879555,0.03420397350761844,90
gpt2-medium,A2,1.0,0.043695966402689614,0.03834275042849089,90
